100	9671
101	9217
102	9597
103	11212
104	12727
105	13763
106	13531
107	12704
108	11275
109	9303
110	8366
111	7887
112	7745
113	8348
114	8998
115	10296
116	10357
117	10531
118	10019
119	8862
120	8136
121	7698
122	7412
123	7422
124	7844
125	8688
126	9444
127	10370
128	11196
129	11192
130	13113
131	15756
132	14042
133	11102
134	9782
135	10364
136	11414
137	16234
138	19903
139	18983
140	22443
141	29904
142	29250
143	25209
144	23709
145	22816
146	23831
147	26578
148	28250
149	26209
150	26288
151	32183
152	40761
153	48173
154	55636
155	62001
156	64450
157	64693
158	57411
159	47288
160	38642
161	37473
162	45991
163	59068
164	76035
165	95921
166	113959
167	119618
168	106818
169	83502
170	61227
171	48641
172	48138
173	59169
174	76279
175	96390
176	114583
177	122126
178	114419
179	96540
180	75864
181	60758
182	53760
183	56685
184	65687
185	78423
186	89381
187	97531
188	97826
189	90588
190	77010
191	66432
192	58423
193	57450
194	60645
195	66137
196	73217
197	78339
198	81077
199	76096
20	135
200	69346
201	63347
202	59250
203	58071
204	59953
205	63015
206	65595
207	65713
208	65531
209	62166
21	130
210	58750
211	56256
212	53598
213	52882
214	53596
215	54246
216	55251
217	54435
218	53009
219	50400
22	203
220	47726
221	44650
222	43902
223	43608
224	42378
225	44163
226	44196
227	43898
228	41681
229	39748
23	226
230	37774
231	34836
232	33940
233	32711
234	33480
235	33836
236	33341
237	32893
238	31180
239	29348
24	383
240	27488
241	25512
242	24701
243	23390
244	23476
245	24428
246	23949
247	23288
248	22264
249	20621
25	553
250	19426
251	18178
252	16987
253	16666
254	16141
255	15507
256	16161
257	15343
258	14418
259	14493
26	793
260	13140
261	12448
262	11321
263	10489
264	10700
265	10241
266	10362
267	10108
268	9693
269	9470
27	1217
270	8918
271	8537
272	7767
273	7335
274	7044
275	6771
276	6747
277	6393
278	6616
279	6347
28	2389
280	6581
281	5990
282	5582
283	5261
284	4903
285	4556
286	4882
287	4759
288	5100
289	5197
29	5010
290	5264
291	5264
292	5108
293	4732
294	4253
295	3836
296	3841
297	3947
298	4509
299	5075
30	8289
300	5844
301	6078
302	6264
303	5531
304	4917
305	4276
306	3822
307	4089
308	4656
309	5302
31	11441
310	6348
311	7093
312	7378
313	7057
314	6442
315	5899
316	5104
317	5118
318	5070
319	5822
32	17177
320	6741
321	7854
322	8607
323	8660
324	8349
325	7343
326	6764
327	6214
328	6225
329	6662
33	21162
330	7366
331	8187
332	9104
333	9439
334	9382
335	8568
336	8203
337	7842
338	7348
339	7553
34	19242
340	7978
341	8270
342	8849
343	9009
344	9147
345	9213
346	8979
347	8486
348	8454
349	7962
35	16597
350	8171
351	8289
352	8483
353	8670
354	8834
355	9029
356	9044
357	8863
358	9040
359	8487
